num_links,num_words,has_offer,sender_score,all_caps,is_spam
3,98,1,0.718607000019532,0,0
0,170,0,0.6989012256305066,1,0
0,38,0,0.6204655338427096,0,0
0,116,0,0.7017545121546982,0,0
3,89,1,0.5836211903463085,1,1
2,197,0,0.46620099439709684,0,0
0,166,1,1.0,0,0
0,113,0,0.6008125706241592,0,0
1,169,0,0.7531083349115334,0,0
1,150,1,1.0,0,0
1,143,1,0.6172605541061988,0,0
1,152,0,0.7920398530653683,0,0
2,86,1,1.0,1,0
2,58,1,0.3700088220664975,0,1
1,175,1,0.9667644867108409,0,0
0,148,0,0.7444248317281019,0,0
4,169,1,0.5989640277664063,1,1
2,128,1,0.7096956123369527,0,0
1,192,1,0.627632758915169,0,0
2,70,0,1.0,0,0
1,122,0,0.6967978881243121,0,0
1,100,1,0.8395641640232007,0,0
6,125,0,0.5942189762194714,1,1
0,70,1,0.7584742171892197,0,0
0,47,1,0.623438597940289,0,0
1,49,1,0.4160163426380044,0,0
2,27,0,0.9616815732485133,0,0
1,60,0,0.7696248172388661,0,0
0,172,0,0.8542449689833531,0,0
1,78,0,0.5543161499669553,0,0
2,53,0,0.9369426998899095,0,0
0,186,0,0.7935665938813619,0,0
4,90,0,0.7300464150096571,1,1
1,135,1,0.9058540961503873,0,0
2,193,0,0.6341502654789648,0,0
0,57,0,0.9589463895416415,0,0
1,128,0,0.5675495787922175,0,0
3,180,0,0.7066548155616572,0,0
0,136,0,0.5126999748411132,0,0
4,41,0,0.47035647106569534,0,0
2,174,0,0.6068478483474057,0,0
0,174,0,0.6678223423373711,0,0
0,40,1,0.8103555699996696,0,0
1,182,0,0.571390284455865,1,0
2,66,1,0.8173815910580857,1,0
2,69,1,0.6360103214079216,0,0
0,138,1,0.60118595090279,0,0
1,157,0,0.8258883883740826,0,0
5,130,0,0.591112380488978,0,0
4,47,1,1.0,0,0
0,56,0,0.7864663834702392,0,0
1,188,0,0.4264806823461203,0,0
2,70,0,0.676161709000912,0,0
1,27,0,0.570557629185698,0,0
0,133,0,0.37174127087672426,0,0
0,180,1,0.9115760373467809,0,0
2,38,0,0.9161803062386091,1,0
2,49,0,0.5550471017122471,0,0
3,161,0,0.8421244986459687,0,0
1,55,0,0.87539334461792,0,0
0,154,0,0.6974709457692487,0,0
2,135,0,0.8904560515565978,0,0
2,126,0,0.7589026534463216,1,0
0,53,0,0.9290887844595364,0,0
2,197,0,0.4655056415405697,0,0
2,51,0,0.7295936963409365,0,0
2,61,0,0.7403063882202384,0,0
2,180,1,0.4687024841977503,0,0
2,138,0,0.4878301348411126,0,0
0,33,0,0.3831899548802522,0,0
2,175,1,0.7090405841396492,0,0
1,133,0,0.611931304792617,0,0
1,186,0,0.44184707639587084,0,0
3,113,1,0.943451746603037,0,1
1,50,0,0.7800606431341096,0,0
2,171,1,0.5550901350931993,0,0
3,151,0,0.7406483919540723,0,0
1,28,1,0.652403451390673,0,0
3,119,0,0.387522827657808,0,0
3,89,1,0.754772952376467,0,1
2,43,1,1.0,1,1
0,117,0,0.9824014700505759,0,0
2,84,0,0.7206764978065621,0,0
0,164,0,0.6128018749723478,1,0
1,119,0,0.8125731069286083,0,0
0,184,0,0.753308560160506,0,0
3,69,0,0.6722775794244902,0,0
1,192,1,1.0,0,0
2,39,1,0.6207786454709298,0,0
